Protocol	CellType	Disease	SRAID	Sample
SmartSeq2	PP	ND	GSM2158511	PP_ND_GSM2158511
SmartSeq2	PP	ND	GSM2158512	PP_ND_GSM2158512
SmartSeq2	PP	ND	GSM2158513	PP_ND_GSM2158513
SmartSeq2	PP	ND	GSM2158514	PP_ND_GSM2158514
SmartSeq2	PP	ND	GSM2158515	PP_ND_GSM2158515
SmartSeq2	PP	ND	GSM2158516	PP_ND_GSM2158516
SmartSeq2	PP	ND	GSM2158517	PP_ND_GSM2158517
SmartSeq2	PP	ND	GSM2158518	PP_ND_GSM2158518
SmartSeq2	PP	ND	GSM2158519	PP_ND_GSM2158519
SmartSeq2	PP	ND	GSM2158520	PP_ND_GSM2158520
SmartSeq2	PP	ND	GSM2158521	PP_ND_GSM2158521
SmartSeq2	PP	ND	GSM2158522	PP_ND_GSM2158522
SmartSeq2	PP	ND	GSM2158523	PP_ND_GSM2158523
SmartSeq2	PP	ND	GSM2158524	PP_ND_GSM2158524
SmartSeq2	PP	ND	GSM2158525	PP_ND_GSM2158525
SmartSeq2	PP	ND	GSM2158526	PP_ND_GSM2158526
SmartSeq2	PP	ND	GSM2158527	PP_ND_GSM2158527
SmartSeq2	PP	ND	GSM2158528	PP_ND_GSM2158528
SmartSeq2	PP	ND	GSM2158529	PP_ND_GSM2158529
SmartSeq2	PP	ND	GSM2158530	PP_ND_GSM2158530
SmartSeq2	PP	ND	GSM2158531	PP_ND_GSM2158531
SmartSeq2	PP	ND	GSM2158532	PP_ND_GSM2158532
SmartSeq2	PP	ND	GSM2158533	PP_ND_GSM2158533
SmartSeq2	PP	ND	GSM2158534	PP_ND_GSM2158534
SmartSeq2	PP	ND	GSM2158535	PP_ND_GSM2158535
SmartSeq2	PP	ND	GSM2158536	PP_ND_GSM2158536
SmartSeq2	PP	ND	GSM2158537	PP_ND_GSM2158537
SmartSeq2	PP	ND	GSM2158538	PP_ND_GSM2158538
SmartSeq2	PP	ND	GSM2158539	PP_ND_GSM2158539
SmartSeq2	PP	ND	GSM2158540	PP_ND_GSM2158540
SmartSeq2	PP	ND	GSM2158541	PP_ND_GSM2158541
SmartSeq2	PP	ND	GSM2158542	PP_ND_GSM2158542
SmartSeq2	PP	ND	GSM2158543	PP_ND_GSM2158543
SmartSeq2	PP	ND	GSM2158544	PP_ND_GSM2158544
SmartSeq2	PP	ND	GSM2158545	PP_ND_GSM2158545
SmartSeq2	PP	ND	GSM2158546	PP_ND_GSM2158546
SmartSeq2	PP	ND	GSM2158547	PP_ND_GSM2158547
SmartSeq2	PP	ND	GSM2158548	PP_ND_GSM2158548
SmartSeq2	PP	ND	GSM2158549	PP_ND_GSM2158549
SmartSeq2	PP	T2D	GSM2159505	PP_T2D_GSM2159505
SmartSeq2	PP	T2D	GSM2159506	PP_T2D_GSM2159506
SmartSeq2	PP	T2D	GSM2159507	PP_T2D_GSM2159507
SmartSeq2	PP	T2D	GSM2159508	PP_T2D_GSM2159508
SmartSeq2	PP	T2D	GSM2159509	PP_T2D_GSM2159509
SmartSeq2	PP	T2D	GSM2159510	PP_T2D_GSM2159510
SmartSeq2	PP	T2D	GSM2159511	PP_T2D_GSM2159511
SmartSeq2	PP	T2D	GSM2159512	PP_T2D_GSM2159512
SmartSeq2	PP	T2D	GSM2159513	PP_T2D_GSM2159513
SmartSeq2	PP	T2D	GSM2159514	PP_T2D_GSM2159514
SmartSeq2	PP	T2D	GSM2159515	PP_T2D_GSM2159515
SmartSeq2	PP	T2D	GSM2159516	PP_T2D_GSM2159516
SmartSeq2	PP	T2D	GSM2159517	PP_T2D_GSM2159517
SmartSeq2	PP	T2D	GSM2159518	PP_T2D_GSM2159518
SmartSeq2	PP	T2D	GSM2159519	PP_T2D_GSM2159519
SmartSeq2	PP	T2D	GSM2159520	PP_T2D_GSM2159520
SmartSeq2	PP	T2D	GSM2159521	PP_T2D_GSM2159521
SmartSeq2	PP	T2D	GSM2159522	PP_T2D_GSM2159522
SmartSeq2	PP	T2D	GSM2159523	PP_T2D_GSM2159523
SmartSeq2	PP	T2D	GSM2159524	PP_T2D_GSM2159524
SmartSeq2	PP	T2D	GSM2159525	PP_T2D_GSM2159525
SmartSeq2	PP	T2D	GSM2159526	PP_T2D_GSM2159526
SmartSeq2	PP	T2D	GSM2159527	PP_T2D_GSM2159527
SmartSeq2	PP	T2D	GSM2159528	PP_T2D_GSM2159528
SmartSeq2	PP	T2D	GSM2159529	PP_T2D_GSM2159529
SmartSeq2	PP	T2D	GSM2159530	PP_T2D_GSM2159530
SmartSeq2	PP	T2D	GSM2159531	PP_T2D_GSM2159531
SmartSeq2	PP	T2D	GSM2159532	PP_T2D_GSM2159532
SmartSeq2	PP	T2D	GSM2159533	PP_T2D_GSM2159533
SmartSeq2	PP	T2D	GSM2159534	PP_T2D_GSM2159534
SmartSeq2	PP	T2D	GSM2159535	PP_T2D_GSM2159535
SmartSeq2	PP	T2D	GSM2159536	PP_T2D_GSM2159536
SmartSeq2	PP	T2D	GSM2159537	PP_T2D_GSM2159537
SmartSeq2	PP	T2D	GSM2159538	PP_T2D_GSM2159538
SmartSeq2	PP	T2D	GSM2159539	PP_T2D_GSM2159539
SmartSeq2	PP	T2D	GSM2159540	PP_T2D_GSM2159540
SmartSeq2	PP	T2D	GSM2159541	PP_T2D_GSM2159541
SmartSeq2	PP	T2D	GSM2159542	PP_T2D_GSM2159542
SmartSeq2	PP	T2D	GSM2159543	PP_T2D_GSM2159543
SmartSeq2	PP	T2D	GSM2159544	PP_T2D_GSM2159544
SmartSeq2	PP	T2D	GSM2159545	PP_T2D_GSM2159545
SmartSeq2	PP	T2D	GSM2159546	PP_T2D_GSM2159546
SmartSeq2	PP	T2D	GSM2159547	PP_T2D_GSM2159547
SmartSeq2	PP	T2D	GSM2159548	PP_T2D_GSM2159548
SmartSeq2	PP	T2D	GSM2159549	PP_T2D_GSM2159549
SmartSeq2	PP	T2D	GSM2159550	PP_T2D_GSM2159550
SmartSeq2	PP	T2D	GSM2159551	PP_T2D_GSM2159551
SmartSeq2	PP	T2D	GSM2159552	PP_T2D_GSM2159552
SmartSeq2	PP	T2D	GSM2159553	PP_T2D_GSM2159553
SmartSeq2	PP	T2D	GSM2159554	PP_T2D_GSM2159554
SmartSeq2	PP	T2D	GSM2159555	PP_T2D_GSM2159555
SmartSeq2	PP	T2D	GSM2159556	PP_T2D_GSM2159556
SmartSeq2	PP	T2D	GSM2159557	PP_T2D_GSM2159557
SmartSeq2	PP	T2D	GSM2159558	PP_T2D_GSM2159558
SmartSeq2	alpha	ND	GSM2158106	alpha_ND_GSM2158106
SmartSeq2	alpha	ND	GSM2158107	alpha_ND_GSM2158107
SmartSeq2	alpha	ND	GSM2158108	alpha_ND_GSM2158108
SmartSeq2	alpha	ND	GSM2158109	alpha_ND_GSM2158109
SmartSeq2	alpha	ND	GSM2158110	alpha_ND_GSM2158110
SmartSeq2	alpha	ND	GSM2158111	alpha_ND_GSM2158111
SmartSeq2	alpha	ND	GSM2158112	alpha_ND_GSM2158112
SmartSeq2	alpha	ND	GSM2158113	alpha_ND_GSM2158113
SmartSeq2	alpha	ND	GSM2158114	alpha_ND_GSM2158114
SmartSeq2	alpha	ND	GSM2158115	alpha_ND_GSM2158115
SmartSeq2	alpha	ND	GSM2158116	alpha_ND_GSM2158116
SmartSeq2	alpha	ND	GSM2158117	alpha_ND_GSM2158117
SmartSeq2	alpha	ND	GSM2158118	alpha_ND_GSM2158118
SmartSeq2	alpha	ND	GSM2158119	alpha_ND_GSM2158119
SmartSeq2	alpha	ND	GSM2158120	alpha_ND_GSM2158120
SmartSeq2	alpha	ND	GSM2158121	alpha_ND_GSM2158121
SmartSeq2	alpha	ND	GSM2158122	alpha_ND_GSM2158122
SmartSeq2	alpha	ND	GSM2158123	alpha_ND_GSM2158123
SmartSeq2	alpha	ND	GSM2158124	alpha_ND_GSM2158124
SmartSeq2	alpha	ND	GSM2158125	alpha_ND_GSM2158125
SmartSeq2	alpha	ND	GSM2158126	alpha_ND_GSM2158126
SmartSeq2	alpha	ND	GSM2158127	alpha_ND_GSM2158127
SmartSeq2	alpha	ND	GSM2158128	alpha_ND_GSM2158128
SmartSeq2	alpha	ND	GSM2158129	alpha_ND_GSM2158129
SmartSeq2	alpha	ND	GSM2158130	alpha_ND_GSM2158130
SmartSeq2	alpha	ND	GSM2158131	alpha_ND_GSM2158131
SmartSeq2	alpha	ND	GSM2158132	alpha_ND_GSM2158132
SmartSeq2	alpha	ND	GSM2158133	alpha_ND_GSM2158133
SmartSeq2	alpha	ND	GSM2158134	alpha_ND_GSM2158134
SmartSeq2	alpha	ND	GSM2158135	alpha_ND_GSM2158135
SmartSeq2	alpha	ND	GSM2158136	alpha_ND_GSM2158136
SmartSeq2	alpha	ND	GSM2158137	alpha_ND_GSM2158137
SmartSeq2	alpha	ND	GSM2158138	alpha_ND_GSM2158138
SmartSeq2	alpha	ND	GSM2158139	alpha_ND_GSM2158139
SmartSeq2	alpha	ND	GSM2158140	alpha_ND_GSM2158140
SmartSeq2	alpha	ND	GSM2158141	alpha_ND_GSM2158141
SmartSeq2	alpha	ND	GSM2158142	alpha_ND_GSM2158142
SmartSeq2	alpha	ND	GSM2158143	alpha_ND_GSM2158143
SmartSeq2	alpha	ND	GSM2158144	alpha_ND_GSM2158144
SmartSeq2	alpha	ND	GSM2158145	alpha_ND_GSM2158145
SmartSeq2	alpha	ND	GSM2158146	alpha_ND_GSM2158146
SmartSeq2	alpha	ND	GSM2158147	alpha_ND_GSM2158147
SmartSeq2	alpha	ND	GSM2158148	alpha_ND_GSM2158148
SmartSeq2	alpha	ND	GSM2158149	alpha_ND_GSM2158149
SmartSeq2	alpha	ND	GSM2158150	alpha_ND_GSM2158150
SmartSeq2	alpha	ND	GSM2158151	alpha_ND_GSM2158151
